X1,X2
-1.118791130618213836e-01,1.348283004710965627e-01
-1.855462839540216943e-02,-4.567668059370764283e-02
7.917060290769526443e-01,-2.112027190020054346e-01
1.305589042927300936e-01,2.762701472671780234e-01
4.424971071024009356e-02,-1.021746124953042179e+00
-8.252499162885764683e-01,-1.377347339139016469e-01
7.337315384449125677e-01,5.241545505759478418e-01
-1.179584835012021715e+00,-3.170987013412620570e-01
3.460871693622482592e-01,9.290716418436826274e-01
-3.206595390628632081e-01,6.649831614411576275e-02
8.382432540919518837e-01,8.356028088318827318e-02
-9.547084545337336872e-03,7.037602011031061054e-03
5.887983070263536761e-02,-1.752981521490987460e-01
1.676377514940235736e-01,-7.483123180661571672e-01
-1.725064719434148824e-02,-6.488315107209319255e-02
-2.484873660993530166e-03,-1.154890786659900914e-01
7.581160636564884814e-02,9.337493631611509803e-01
-6.690502568464690158e-01,-9.353728935813883094e-01
3.384950644236210948e-01,-9.584783903358917723e-01
1.043786355816366473e+00,-3.195180805069523788e-02
-1.156375280574360592e-01,1.364105792317891752e-01
1.335866012379605464e-02,4.822822123162144592e-02
1.335878012606087073e-01,-1.597142088140267868e-01
1.620278428338237653e-01,-1.009053802693564150e-01
8.601102092915510755e-02,-2.114954217368932576e-01
-9.281897497361113469e-01,6.450754884921411358e-01
9.369657125311098289e-03,-2.367582539101272757e-03
-4.799939302106730477e-01,-7.273180665736042050e-01
-4.028135420569894931e-02,1.612336257236538515e-03
6.164184264583792983e-01,-4.833321769222551634e-01
5.125705395163437927e-02,-2.522189404742414156e-04
-1.479814218804627324e-01,-5.150593762085840105e-02
1.015275055153534722e-02,2.527704194751925065e-02
-2.045433798846779117e-01,1.384579100325812884e-01
-4.483345701849701381e-01,-9.017902811147893161e-01
5.872414475782751497e-02,-7.913021671125919712e-03
-2.545668770566069782e-03,-1.106681890400115081e-01
-9.387614875385257018e-02,4.279570492819449040e-02
1.026219072524962694e+00,3.872900874196856802e-01
-1.485711506114478471e-03,-2.628626965295467917e-03
9.030123485745491507e-01,-6.343649040041481335e-01
-8.221789266224285419e-04,9.096834388217266143e-02
4.253878537945078309e-01,1.047149256220390789e+00
8.578838411002416287e-01,-2.279326255248426483e-02
7.329844394249305228e-01,-5.968626748118887049e-01
8.703205697071482172e-01,5.823438453844889118e-01
-8.884713172356025757e-01,-5.705486671268871213e-01
-3.495840869020709896e-01,-8.118794445089729805e-01
-1.111634865113879794e-01,-9.850207469127235660e-01
3.728351259072528179e-01,-6.686059530141107432e-01
-5.463461645697263204e-03,-5.211132452573728757e-03
-4.915836059892464416e-01,-2.949971639288415659e-01
7.376251222495424642e-01,4.569844329131669824e-01
-1.311999549924514064e-01,-3.891542664195766360e-02
4.832143582827592293e-02,-6.490706584888907005e-02
-2.282051545375033408e-01,-1.000165128148269522e+00
8.510043509019779018e-01,6.275289393259446680e-01
-6.535591243964773700e-02,9.558619697776623569e-01
4.533463191317047003e-02,-4.239060040651913830e-02
2.538763405405825013e-01,3.649855143731366436e-01
-4.812182405556929971e-02,2.990002688149975829e-01
-8.647743612769596133e-01,-8.324189748879197159e-01
-3.112084527391067654e-03,1.129883375278708212e-02
3.591839668114850670e-01,7.179895093420572971e-01
1.334175477151616773e-01,-1.062717441038137478e+00
7.043778893019623198e-03,-5.263278386831869021e-02
1.397494141640178711e-01,4.418715998726182453e-02
6.233197186999954731e-01,6.471008127960395928e-01
8.279910029335138533e-02,3.200169229760825296e-01
-8.106657122032019380e-01,4.220424892244589166e-01
7.279266806007131385e-02,-1.470573708698758031e-01
-2.877092334699835052e-01,1.013548030185487114e+00
1.907892198767391356e-01,-2.225584999312313073e-01
-4.619408899144692576e-02,5.281870213101145378e-02
3.427214218007965107e-01,-9.128985742022840411e-01
-1.206605146841409903e-01,5.139177428335084397e-02
2.219797809724319004e-01,-2.786786726583214205e-02
-7.583401175368460756e-02,2.118437602906796113e-01
-9.478828310424470827e-01,-4.645359527865725591e-01
-9.848441096758062119e-02,-5.366861065567777450e-02
1.863745259295962464e-01,-8.151028810390894552e-01
-9.340319806476464759e-01,-1.658201107484277570e-01
9.911186725561811350e-01,2.789085140172575250e-01
9.877740647476361824e-01,2.786048439406362265e-01
-1.826756001542699792e-01,-1.792805272775319370e-01
-6.911967291056901608e-02,5.013445731537796712e-02
-4.364720128897669332e-02,-1.342228862849330073e-01
9.542846631014473280e-02,-7.281586484729277164e-02
9.617375313049043584e-01,3.487700805149164807e-01
1.102890896707392487e+00,-1.060714859990166681e-02
-7.014916766628893630e-01,6.484604678314445092e-01
2.813838835613226563e-01,9.221942304760774034e-01
-3.646026827358839206e-02,-1.625908479519511673e-01
-6.939200828635847529e-01,-7.392220251833925282e-01
-7.904182702023927476e-01,5.508742868136282667e-01
-8.349207889986771658e-01,-2.620755872315291279e-01
-2.927871086922773647e-01,1.031988499744629806e+00
1.959022502182285463e-01,-1.790264468110671359e-01
1.126349681790208113e+00,5.778628423067748432e-02
1.961440121458025709e-01,2.570560299196696791e-02
-4.998133592172077783e-02,1.509840899370580233e-02
-8.979701008834192200e-01,-3.016483907203224013e-01
-8.887801331327497278e-01,4.704526687083614989e-01
-2.072671023648754995e-01,-2.279087514832792982e-01
5.311802020965258192e-02,9.175421798687063979e-02
-9.341754891789751103e-02,-1.640579614939896291e-01
-9.071448144478662101e-01,-3.699450555622308401e-01
1.045157475977070538e+00,9.024291858429862867e-02
1.124336184952845263e+00,1.030361821113587595e-01
1.040989272710122863e-02,3.578067847150996628e-02
-9.388579202864355544e-02,-2.721193496066732220e-01
-5.146469609535312406e-01,8.727346473476870203e-01
-2.459284323115384224e-02,-5.211837922135338988e-03
6.331160438446720162e-01,-8.261897881847327652e-01
1.804467133131552187e-02,1.910207549319284728e-02
1.573075247932768095e-01,-8.013576511664796675e-02
2.317094629443668397e-01,-1.192656165745440561e-01
-9.420254349592460663e-01,-3.885057362290206262e-01
-1.779206114836849595e-01,7.342824404623279899e-02
4.805164971271933677e-02,-6.242616031247743419e-02
-2.559395881420151175e-01,-1.001172423781965692e+00
1.369448889105231715e-01,-4.379167334722987026e-01
9.569818965003988875e-01,-4.017672305687515211e-01
-3.803269033554273256e-03,-6.502320425650126579e-02
2.727720300437827539e-01,9.017944430228483910e-01
9.635389863618163409e-01,-2.823601019580627147e-01
6.182516988853050677e-01,1.036602483321719559e+00
-4.316303390519613675e-02,8.755832216094888709e-01
-5.087935884339877396e-02,9.673426720375265520e-01
-3.450795049228806005e-02,-9.591623117133560861e-01
-1.884149500552233791e-01,1.001594262839322798e-02
-1.812334420572373761e-01,-7.909596340699224237e-01
-9.474927836270060633e-01,4.713757799933638859e-01
-4.464110284256948002e-01,7.614245583354017910e-01
-1.907070972719192986e-02,-1.630136848323041621e-01
-2.537293502760679664e-01,-8.814208801513974123e-01
1.725793496686813255e-01,-7.522844037073211920e-02
-1.723468914381375838e-01,8.857905851871843428e-01
-5.857384301222836598e-01,6.241032731816301693e-01
3.245831330209421241e-03,-5.737746832072691816e-02
2.420598242976539360e-01,1.636737109128000578e-01
-2.079243472878413226e-03,-2.291646296659899731e-02
-1.869080533495152963e-02,-2.807722863187137041e-02
-2.139755275091040354e-03,8.701113149118436807e-01
-9.354408426568473489e-01,-1.864130378866179216e-01
1.165338245521894273e-01,-6.944075175707514758e-01
-3.615506314027971957e-01,-8.708365840700785787e-01
2.283302225764866633e-01,-3.745506173388618576e-01
-4.649145865916693571e-02,4.000401165460758593e-03
1.055121571518940149e+00,1.917995634804076643e-01
9.734849214852672183e-01,1.379193361185215572e-01
-7.793030912516935027e-01,4.255973594490801704e-01
-7.767146674912117632e-02,3.453932581407893054e-01
4.644436057658757333e-02,4.647749853694276012e-02
1.028054515772709232e+00,-1.863860556193022155e-01
-8.371430099099115285e-01,-6.472592744052448888e-01
-3.207799039534930258e-02,-9.310487970656228240e-02
1.077549213208978118e+00,-3.169327538463438954e-01
-9.025921514126192258e-02,-1.154478566883114510e-01
1.449975131844763454e-01,-1.007680109304725097e-01
-7.846586018363933823e-02,5.772991460702034568e-03
-8.807566600263553314e-01,-4.241791063792851868e-01
8.335398878869283434e-01,1.394628122691129457e-01
7.947833639038233422e-03,9.406079470764147632e-03
2.315810164878206179e-01,-5.794347870354823321e-02
-3.028709941363791347e-01,1.055090190877658873e+00
-7.570667038154647033e-01,-2.817301417669152430e-01
6.715074132580416411e-01,6.864479191216219522e-01
-7.916622743459359457e-01,-2.718234878250020414e-01
-9.954250023211240750e-01,2.076202932733236250e-01
2.273077616074972371e-03,-7.794241656688247546e-03
9.310547333335130946e-03,1.629806918814029120e-03
1.780447241127025015e-01,-1.363558695137520871e-01
-1.671774511473710090e-01,-6.291464060222479171e-02
6.262875790160064016e-01,7.283903243869400690e-01
1.066805456116198536e-01,8.699276932425779874e-02
1.973310741963745646e-02,-2.163267295326936346e-01
5.018791119683350122e-01,-8.714528425674662460e-01
-7.277207650335595912e-02,-5.893860461164963233e-02
8.817544488875898034e-01,2.489510694254336298e-01
-7.632209027350557173e-01,4.743872280494065286e-01
7.921544950103413807e-02,7.628324424128689329e-02
-1.661395210983430959e-02,-1.016977001546749276e-01
-1.492043738470161598e-02,-1.010462652397399408e+00
1.084845943250175582e-01,-1.574231258147658907e-01
5.178603694314995454e-02,2.589024558516147753e-02
-1.676594749286203778e-01,-7.324591919018347275e-02
-5.983345273094762273e-01,-8.779530769657803990e-01
1.078677468100514153e-01,1.072593787105165397e+00
-9.592705565202684637e-02,-5.412198930149236809e-02
-3.043555807544831571e-01,-6.467889759383664838e-01
-3.658099018748120490e-02,-1.822628580303769785e-01
4.481241368433007133e-01,9.634540300816343272e-01
9.939842868150329247e-01,2.778395563833108151e-01
5.746753563826877409e-01,7.737448690092477710e-01
-2.604905589383764708e-01,6.604984972088397133e-02
9.247319099218054284e-01,2.207419058600527395e-01
